Anbieter,Stromkennzeichnung Atom,Kohle,Erdgas,sonst. Fossil,EEG Strom,Erneuerbare Energien,Check,Kohle und sonst. Fossile Energieträger,Stromeinkauf (ohne EEG) Atom,Kohle2,Erdgas2,sonst. Fossil 2,Erneuerbare Energien 2,Kohle und sonst. Fossile Energieträger 2,CO2 Emmision (g/KWh),Atommüll (g/kWh),Tatsächlicher CO2-Ausstoß (Stromeinkauf) ohne EEG,Link,Anmerkungen
Stadtwerke Sigmaringen,2.00%,13.00%,5.00%,1.00%,26.00%,53.00%,100.00%,19.00%,2.70%,17.57%,6.76%,1.35%,71.62%,25.68%,148,0.0001,200,http://www.stadtwerke-sigmaringen.de/de/Strom/Stromtarife/SIG-strom-classic/Rechte-Seite/Diagramm-neu.pdf,
Stadtwerke Sindelfingen GmbH,6.60%,29.80%,9.10%,1.20%,52.90%,0.40%,100.00%,40.10%,14.01%,63.27%,19.32%,2.55%,0.85%,85.14%,342,0.0002,726.114649681529,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&ved=2ahUKEwjbgcvD1IjfAhUEDywKHT2OCpIQFjAAegQIAhAC&url=https%3A%2F%2Fwww.stadtwerke-sindelfingen.de%2Ffileadmin%2Fstadtwerke-sindelfingen.de%2Fassets%2Fstrom%2Fstromkennzeichnung-stadtwerke-sindelfingen.pdf&usg=AOvVaw0aajdtOMGYZJvmyWbLMteY,
Stadtwerke Soest GmbH,4.00%,15.00%,13.00%,1.00%,48.00%,19.00%,100.00%,29.00%,7.69%,28.85%,25.00%,1.92%,36.54%,55.77%,193,0.0001,371.153846153846,https://www.stadtwerke-soest.de/privatkunden/strom/stromkennzeichnung,
Stadtwerke Solingen GmbH,7.00%,23.00%,5.00%,1.00%,51.00%,13.00%,100.00%,29.00%,14.29%,46.94%,10.20%,2.04%,26.53%,59.18%,250,0.0002,510.204081632653,https://www.stadtwerke-solingen.de/privat-gewerbekunden/strom/strommixstromkennzeichnung/,
Stadtwerke Soltau GmbH & Co. KG,0.00%,0.00%,0.00%,0.00%,52.94%,47.06%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://www.sw-soltau.de/privatkunden/naturstrom.html,
Stadtwerke Sondershausen GmbH,5.70%,24.80%,19.50%,0.90%,48.90%,0.20%,100.00%,45.20%,11.15%,48.53%,38.16%,1.76%,0.39%,88.45%,313,0.0002,612.52446183953,https://www.stadtwerke-sondershausen.de/emodul/project/upload/service/Stromkennzeichnung_2017.pdf,
Stadtwerke Speyer GmbH,6.70%,21.70%,5.20%,0.70%,51.10%,14.50%,99.90%,27.60%,13.70%,44.38%,10.63%,1.43%,29.65%,56.44%,218,0.0002,445.807770961145,https://www.stadtwerke-speyer.de/de/Privatkunden/Strom/Stromkennzeichnung/Stromkennzeichnung/Stromkennzeichnung-2017.pdf,
Stadtwerke Springe GmbH,0.00%,10.10%,31.10%,3.20%,52.90%,2.70%,100.00%,44.40%,0.00%,21.44%,66.03%,6.79%,5.73%,94.27%,320,0.0000,679.405520169852,https://www.stadtwerke-springe.de/privatkunden/stromprodukte/stromkennzeichnung/,
Stadtwerke St. Ingbert GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.sw-igb.de/strom/stromkennzeichnung.html,nicht aktuell
Stadtwerke Stade GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.stadtwerke-stade.de/de/strom/produkte.html,nicht aktuell
Stadtwerke Stadtoldendorf GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.stadtwerke-stadtoldendorf.de/stromkennzeichnung.html,nicht aktuell
Stadtwerke Stadtroda GmbH,1.80%,7.80%,36.80%,0.30%,52.90%,0.40%,100.00%,44.90%,3.82%,16.56%,78.13%,0.64%,0.85%,95.33%,124,0.0000,263.269639065817,https://www.stadtwerke-stadtroda.de/service/formulare/informationen-und-erlaeuterungen/#images,
Stadtwerke Staßfurt GmbH,7.40%,25.10%,13.70%,0.10%,52.90%,0.80%,100.00%,38.90%,15.71%,53.29%,29.09%,0.21%,1.70%,82.59%,308,0.0002,653.927813163482,http://www.stadtwerke-stassfurt.de/de/Privatkunden/Strom/Stromkennzeichnung/Stromkennzeichnung/Stromkennzeichnung.pdf,
Stadtwerke Stein GmbH & Co. KG,8.20%,24.40%,12.90%,1.50%,52.90%,0.10%,100.00%,38.80%,17.41%,51.80%,27.39%,3.18%,0.21%,82.38%,227,0.0002,481.953290870488,https://www.stst.de/de/STROM/Stromkennzeichnung/Strommix.html,
Stadtwerke Steinfurt GmbH,9.40%,24.80%,11.20%,1.60%,52.90%,0.10%,100.00%,37.60%,19.96%,52.65%,23.78%,3.40%,0.21%,79.83%,295,0.0003,626.326963906582,https://www.swst.de/produkte/strom/stromkennzeichnung,
Stadtwerke Stendal GmbH,12.96%,29.51%,9.90%,6.63%,40.61%,0.39%,100.00%,46.04%,21.82%,49.69%,16.67%,11.16%,0.66%,77.52%,496,0.0004,835.157433911433,http://www.stadtwerke-stendal.de/de/Strom/Stromkennzeichnung/,
Stadtwerke Stockach GmbH,5.10%,6.00%,1.20%,0.60%,50.10%,37.00%,100.00%,7.80%,10.22%,12.02%,2.40%,1.20%,74.15%,15.63%,59,0.0001,118.236472945892,https://www.stadtwerke-stockach.de/de/energie/strom/stromkennzeichnung.html,
Stadtwerke Straubing Strom und Gas GmbH,16.90%,20.70%,6.00%,0.90%,52.40%,3.10%,100.00%,27.60%,35.50%,43.49%,12.61%,1.89%,6.51%,57.98%,228,0.0005,478.991596638656,https://www.stadtwerke-straubing.com/index.cfm?resid=0&res=1024&sid=2&skt=5187,
Stadtwerke Strausberg GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://ssg-strausberg.de/str-stromzusammensetzung.htm,nicht aktuell
Stadtwerke Suhl/Zella-Mehlis GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.swsz.de/privatkunden/produkte/strom/stromkennzeichnung.html,nicht aktuell
Stadtwerke Sulzbach/Saar GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.stadtwerke-sulzbach.de/product/1,nicht aktuell
Stadtwerke Tecklenburger Land Energie GmbH,5.70%,27.20%,7.60%,1.00%,52.90%,5.60%,100.00%,35.80%,12.10%,57.75%,16.14%,2.12%,11.89%,76.01%,287,0.0002,609.341825902335,https://www.stadtwerke-tecklenburgerland.de/produkte/strom/produkte/mein-te-strom-garant-pk.html?tx_onlineservice_product%5BlocalSettings%5D%5Bcustomer%5D=0&tx_onlineservice_product%5BlocalSettings%5D%5Bsupply%5D=0&tx_onlineservice_product%5Baction%5D=detailZip&tx_onlineservice_product%5Bcontroller%5D=Product&cHash=5c580833fc83638ce842529fc805fae3,
Stadtwerke Teterow GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://sw-teterow.de/downloadcenter,nicht aktuell
Stadtwerke Thale GmbH,0.00%,10.40%,31.90%,3.30%,52.90%,1.50%,100.00%,45.60%,0.00%,22.08%,67.73%,7.01%,3.18%,96.82%,328,0.0000,696.390658174098,https://www.stadtwerke-thale.de/de/privatkunden/thalestrom/stromherkunftsnachweis/index.html,
Stadtwerke Tirschenreuth,8.00%,21.30%,7.80%,1.10%,52.30%,9.60%,100.10%,30.20%,16.77%,44.65%,16.35%,2.31%,20.13%,63.31%,286,0.0002,599.58071278826,https://www.stadtwerke-tir.de/fileadmin/user_upload/Downloads/strom/Emix.pdf,
Stadtwerke Torgau GmbH,25.70%,37.50%,17.70%,1.30%,14.40%,3.40%,100.00%,56.50%,30.02%,43.81%,20.68%,1.52%,3.97%,66.00%,430,0.0007,502.336448598131,https://stadtwerke-torgau.de/unternehmen/ueber-uns/veroeffentlichungen/,
Stadtwerke Tornesch GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.sw-tornesch.de/de/Energie-Wasser/Strom/Stromkennzeichnung/,FEHLER mit EEG
Stadtwerke Traunstein GmbH & Co. KG,3.20%,8.20%,2.30%,0.40%,52.90%,33.00%,100.00%,10.90%,6.79%,17.41%,4.88%,0.85%,70.06%,23.14%,91,0.0001,193.205944798302,https://www.stadtwerketraunstein.de/produkte-preise/strom/stromkennzeichnung/,
Stadtwerke Treuchtlingen,9.00%,24.70%,8.60%,0.90%,52.90%,3.90%,100.00%,34.20%,19.11%,52.44%,18.26%,1.91%,8.28%,72.61%,272,0.0002,577.494692144374,https://www.sw-trl.de/fileadmin/Strom/Stromkennzeichnung_2017.pdf,
Stadtwerke Troisdorf GmbH,0.00%,0.00%,0.00%,0.00%,47.10%,52.90%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://www.stadtwerke-troisdorf.de/strom/stromkennzeichnung/,
Stadtwerke Trostberg Stromversorgung GmbH,4.70%,14.60%,14.70%,0.90%,52.90%,12.20%,100.00%,30.20%,9.98%,31.00%,31.21%,1.91%,25.90%,64.12%,216,0.0001,458.59872611465,https://www.stadtwerke-trostberg.de/07gzqbmuiaewswtrostberg-cms_extract.html?back=true&select_set=Standard&start=20,
Stadtwerke Tübingen GmbH,3.10%,14.50%,10.10%,1.70%,51.60%,19.00%,100.00%,26.30%,6.40%,29.96%,20.87%,3.51%,39.26%,54.34%,186,0.0001,384.297520661157,https://www.swtue.de/energie/strom/fragen-zur-stromversorgung.html,
Stadtwerke Tuttlingen GmbH,4.90%,15.70%,6.10%,0.90%,52.90%,19.50%,100.00%,22.70%,10.40%,33.33%,12.95%,1.91%,41.40%,48.20%,184,0.0001,390.658174097665,https://www.swtenergie.de/produkte/strom/,
Stadtwerke Uelzen GmbH,1.30%,4.00%,1.50%,0.20%,52.90%,40.10%,100.00%,5.70%,2.76%,8.49%,3.18%,0.42%,85.14%,12.10%,12,52.9000,25.4777070063694,https://www.stadtwerke-uelzen.de/Files/downloads/Stromkennzeichnung%202017_smart%20w%C3%A4rme_1541665048.pdf,
Stadtwerke Uetersen GmbH,0.90%,2.80%,1.00%,0.20%,42.20%,52.90%,100.00%,4.00%,1.56%,4.84%,1.73%,0.35%,91.52%,6.92%,33,0.0000,57.0934256055363,https://www.stadtwerkeuetersen.de/de/Kopfnavigation/Privatkunden/Privatkunden/2019-Preisblatt-SWUeTornesch-20181213.pdf,
Stadtwerke Uffenheim,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.stadtwerke-uffenheim.de/strom/stromprodukte/,nicht aktuell
Stadtwerke Unna GmbH,3.20%,22.30%,5.30%,0.50%,22.00%,46.70%,100.00%,28.10%,4.10%,28.59%,6.79%,0.64%,59.87%,36.03%,206,0.0001,264.102564102564,https://www.sw-unna.de/tarife/strom/stromkennzeichnung/,
Stadtwerke Uslar GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.stadtwerke-uslar.de/strom/kennzeichnung.html,nicht aktuell
Stadtwerke Velbert GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.stadtwerke-velbert.de/privatkunden-service/downloadcenter/,nicht aktuell
Stadtwerke Velten GmbH,18.10%,22.20%,5.70%,0.90%,53.00%,0.10%,100.00%,28.80%,38.51%,47.23%,12.13%,1.91%,0.21%,61.28%,244,0.0005,519.148936170213,https://www.stadtwerke-velten.de/strom/stromkennzeichnung,
Stadtwerke Verden GmbH,7.00%,25.90%,7.80%,1.20%,52.90%,5.20%,100.00%,34.90%,14.86%,54.99%,16.56%,2.55%,11.04%,74.10%,284,0.0002,602.972399150743,https://www.stadtwerke-verden.de/privatkunden/produkte/strom.html,
Stadtwerke Viernheim GmbH,7.00%,12.90%,6.30%,0.70%,52.90%,20.20%,100.00%,19.90%,14.86%,27.39%,13.38%,1.49%,42.89%,42.25%,150,0.0003,318.471337579618,https://www.stadtwerke-viernheim.de/service/veroeffentlichungspflichten/stromkennzeichung.html,
Stadtwerke Villingen-Schwenningen GmbH,14.80%,24.60%,5.70%,1.60%,45.30%,8.00%,100.00%,31.90%,27.06%,44.97%,10.42%,2.93%,14.63%,58.32%,266,0.0004,486.288848263254,https://www.svs-energie.de/produkte-dienstleistungen/strom/strommix.html,
Stadtwerke Vilsbiburg,8.80%,23.20%,12.30%,1.20%,53.10%,1.40%,100.00%,36.70%,18.76%,49.47%,26.23%,2.56%,2.99%,78.25%,294,0.0002,626.865671641791,"https://www.stw-vilsbiburg.de/index.php?id=0,343",
Stadtwerke Vilshofen GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.stadtwerke-vilshofen.de/,nicht vorhanden
Stadtwerke Vlotho GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.stadtwerke-vlotho.de/wp-content/uploads/2018/05/Preisblatt-Vlotho-Strom-01_01_18.pdf,nicht aktuell
Stadtwerke Voerde GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://www.stadtwerke-voerde.de/oekostrom/allgemeine-hinweise/stromkennzeichnung/,
Stadtwerke Völklingen Vertrieb GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.my-stadtwerk.de/,nicht aktuell
Stadtwerke Wachenheim,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.swwachenheim.de/downloads-960.html,nicht aktuell
Stadtwerke Wadern GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.swwadern.de/,nicht aktuell
Stadtwerke Waiblingen GmbH,7.30%,23.80%,12.20%,0.80%,52.80%,3.10%,100.00%,36.80%,15.47%,50.42%,25.85%,1.69%,6.57%,77.97%,284,0.0002,601.694915254237,https://www.stadtwerke-waiblingen.de/index.php/stromkennzeichnung.html,
Stadtwerke Waldkirch GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://www.stadtwerke-waldkirch.de/fileadmin/user_upload/download/strom/Grafik_Stromkennzeichnung_2018.pdf,
Stadtwerke Waldkirchen,9.59%,25.36%,12.56%,1.26%,52.94%,-1.71%,100.00%,39.18%,20.37%,53.90%,26.69%,2.68%,-3.64%,83.27%,299,0.0003,635.380718426466,https://stadtwerke-waldkirchen.de/wp-content/uploads/2018/10/Stromkennzeichnung-2017.pdf,FEHLER negativer Ökostrombetrag?
Stadtwerke Waldkraiburg GmbH,8.70%,26.60%,10.00%,1.60%,52.90%,0.20%,100.00%,38.20%,18.47%,56.48%,21.23%,3.40%,0.42%,81.10%,312,0.0002,662.420382165605,https://www.waldkraiburg.de/de/stromkennzeichnung/,
Stadtwerke Waldmünchen,17.60%,21.50%,5.80%,0.90%,52.90%,1.20%,99.90%,28.20%,37.37%,45.65%,12.31%,1.91%,2.55%,59.87%,237,0.0005,503.184713375796,https://stadtwerke-waldmuenchen.de/Stromkennzeichung_WUM_2017.pdf,
Stadtwerke Waldshut-Tiengen GmbH,1.30%,4.70%,1.30%,0.10%,52.90%,39.60%,99.90%,6.10%,2.76%,9.98%,2.76%,0.21%,84.08%,12.95%,53,0.0000,112.526539278132,http://www.stadtwerke-wt.de/de/Strom/Stromkennzeichnung/,
Stadtwerke Walldorf GmbH & Co. KG,6.20%,25.90%,8.70%,0.80%,52.90%,5.40%,99.90%,35.40%,13.16%,54.99%,18.47%,1.70%,11.46%,75.16%,308,0.0002,653.927813163482,https://www.stadtwerke-walldorf.de/produkte/strom/#1540288961590-b2db8623-81f0,
Stadtwerke Walldürn GmbH,6.80%,31.10%,7.80%,1.30%,52.90%,0.10%,100.00%,40.20%,14.44%,66.03%,16.56%,2.76%,0.21%,85.35%,338,0.0002,717.622080679406,https://www.sw-wallduern.de/produkte/strom/strommix,
Stadtwerke Waltrop GmbH & Co. KG,4.60%,14.80%,4.20%,2.60%,52.90%,20.90%,100.00%,21.60%,9.77%,31.42%,8.92%,5.52%,44.37%,45.86%,154,0.0001,326.963906581741,https://www.stadtwerke-waltrop.de/fileadmin/dokumente/SWW_Energietraegermix_2017.png,
Stadtwerke Waren GmbH,14.00%,17.20%,15.00%,0.70%,52.90%,0.20%,100.00%,32.90%,29.72%,36.52%,31.85%,1.49%,0.42%,69.85%,247,0.0004,524.416135881104,"https://www.stadtwerke-waren.de/01,03,00.html",
Stadtwerke Wasserburg a. Inn,9.40%,14.40%,6.10%,0.70%,52.90%,16.50%,100.00%,21.20%,19.96%,30.57%,12.95%,1.49%,35.03%,45.01%,168,0.0003,356.687898089172,http://www.stadtwerke-wasserburg.de/Stromkennzeichnung%202017.pdf,
Stadtwerke Wedel GmbH,3.80%,11.20%,4.60%,0.60%,52.90%,26.90%,100.00%,16.40%,8.07%,23.78%,9.77%,1.27%,57.11%,34.82%,83,0.0001,176.220806794055,https://www.stadtwerke-wedel.de/de/Energie-Wasser/Linke-Seite/Strommix-2017-Stadtwerke-Wedel-GmbH.pdf,
Stadtwerke Weiden i.d.OPf.,8.10%,25.00%,9.40%,1.50%,46.90%,9.10%,100.00%,35.90%,15.25%,47.08%,17.70%,2.82%,17.14%,67.61%,293,0.0002,551.789077212806,https://www.stadtwerke-weiden.de/_Resources/Persistent/c5c5f95666010f28294717700bb5bdb7d0ef871c/Stromkennzeichnung%202017%20Internet.jpg,
Stadtwerke Weilburg GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,http://www.stadtwerke-weilburg.de/inhalt/veroeffentlichungen/pdf/2017/gb_stw_2017.pdf,nicht aktuell
Stadtwerke Weilheim i.OB,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,http://www.stawm.de/fileadmin/Webdata/energie/Flyer_DinLang_v2_301014_nov_14.pdf,nicht aktuell
Stadtwerke Weimar Stadtversorgungs-GmbH,4.09%,18.76%,17.20%,1.15%,52.94%,5.86%,100.00%,37.11%,8.69%,39.86%,36.55%,2.44%,12.45%,78.86%,246,0.0001,522.736931576711,https://sw-weimar.de/fileadmin/user_upload/sww/Inhalte/Unternehmen/Stromkennzeichnung_2018_Basis_2017_Internet_farbig.pdf,
Stadtwerke Weinheim GmbH,16.30%,19.70%,2.30%,1.80%,52.90%,7.00%,100.00%,23.80%,34.61%,41.83%,4.88%,3.82%,14.86%,50.53%,191,0.0004,405.52016985138,https://www.sww.de/de/Strom/Stromkennzeichnung.php,
Stadtwerke Weinstadt,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.stadtwerke-weinstadt.de/willkommen,nicht vorhanden
Stadtwerke Weißenburg GmbH,9.80%,26.80%,9.40%,0.90%,52.90%,0.10%,99.90%,37.10%,20.81%,56.90%,19.96%,1.91%,0.21%,78.77%,296,0.0003,628.450106157113,https://www.sw-wug.de/downloads/strom/Stromkennzeichnung_2017.pdf,
Stadtwerke Weißenfels GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://stadtwerke-wsf.de/unternehmen/zahlen/,nicht aktuell
Stadtwerke Weißwasser GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.stadtwerke-weisswasser.de/privatkunden/produkte/strom/,nicht aktuell
Stadtwerke Werdau GmbH,4.50%,13.10%,3.50%,0.50%,52.90%,25.50%,100.00%,17.10%,9.55%,27.81%,7.43%,1.06%,54.14%,36.31%,143,0.0002,303.609341825902,https://www.stadtwerke-werdau.de/component/jdownloads/send/1-root/518-stromkennzeichnung-2017-gesamter-energiemix.html,
Stadtwerke Werl GmbH,5.90%,23.10%,12.10%,1.10%,52.90%,4.80%,99.90%,36.30%,12.53%,49.04%,25.69%,2.34%,10.19%,77.07%,278,0.0002,590.233545647558,https://www.stadtwerke-werl.de/_Resources/Persistent/3b8a35c01578f96c2e2a764b145c0b9bb3644661/Stromkennzeichen%202017.pdf,
Stadtwerke Wernigerode GmbH,7.20%,16.30%,10.70%,0.60%,50.90%,14.30%,100.00%,27.60%,14.66%,33.20%,21.79%,1.22%,29.12%,56.21%,166,0.0002,338.085539714868,https://www.stadtwerke-wernigerode.de/_Resources/Persistent/1443950e7d2104d67f4c7f3c5a7f46e09efe6f1b/SWW_Stromkennzeichnung_2017.pdf,
Stadtwerke Wertheim GmbH,16.90%,20.60%,6.10%,1.50%,52.90%,2.00%,100.00%,28.20%,35.88%,43.74%,12.95%,3.18%,4.25%,59.87%,215,0.0005,456.475583864119,https://www.stadtwerke-wertheim.de/de/Strom/Stromkennzeichnung/,
Stadtwerke Wesel GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.stadtwerke-wesel.de/strom.html,nicht aktuell
Stadtwerke Weserbergland GmbH,4.70%,22.70%,5.30%,0.90%,52.90%,13.50%,100.00%,28.90%,9.98%,48.20%,11.25%,1.91%,28.66%,61.36%,256,0.0001,543.524416135881,https://www.stadtwerke-weserbergland.de/stromkennzeichnungen.html,
Stadtwerke Willich GmbH,8.30%,30.00%,7.00%,0.70%,52.90%,1.10%,100.00%,37.70%,17.62%,63.69%,14.86%,1.49%,2.34%,80.04%,342,0.0002,726.114649681529,https://stadtwerke-willich.de/wp-content/uploads/sites/3/2018/11/STW-Stromkennzeichnung-2017-Stand-01.11.2018.pdf,
Stadtwerke Wilster,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.stadtwerke-wilster.de/oekostrom/oekostrom/,nicht aktuell
Stadtwerke Windsbach,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.stadtwerke-windsbach.de/index.php?id=334,nicht aktuell
Stadtwerke Winnenden GmbH,4.00%,19.00%,5.10%,0.70%,52.90%,18.30%,100.00%,24.80%,8.49%,40.34%,10.83%,1.49%,38.85%,52.65%,215,0.0001,456.475583864119,https://stadtwerke-winnenden.de/Files/Kundeninformationen/Stromkennzeichnung-Diagramm-Website-2019.pdf,
Stadtwerke Winsen (Luhe) GmbH,6.40%,24.00%,9.80%,1.10%,51.90%,6.80%,100.00%,34.90%,13.31%,49.90%,20.37%,2.29%,14.14%,72.56%,274,0.0002,569.64656964657,https://www.stw-winsen.de/privatkunden/strom/informationen/#strommix,
Stadtwerke Wismar GmbH,8.10%,24.60%,13.00%,0.80%,52.80%,0.70%,100.00%,38.40%,17.16%,52.12%,27.54%,1.69%,1.48%,81.36%,286,0.0002,605.932203389831,https://www.stadtwerke-wismar.de/privatkunden/strom/infos-zu-wismarstrom/,
Stadtwerke Wissen GmbH,0.00%,0.00%,0.00%,0.00%,47.06%,52.94%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,http://www.siegtalstrom.de/stromkennzeichnung/,
Stadtwerke Witten GmbH,3.60%,12.40%,4.80%,0.60%,44.40%,34.20%,100.00%,17.80%,6.47%,22.30%,8.63%,1.08%,61.51%,32.01%,145,0.0001,260.791366906475,https://www.stadtwerke-witten.de/produkte/strom/strommix,
Stadtwerke Wittenberge GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.stadtwerke-wittenberge.de/files/stadtwerke/media/pdf/wir-strom/wir-strom-flex/Stromkennzeichnung%202016%20f%C3%BCr%202017.pdf,nicht aktuell
Stadtwerke Wolfenbüttel GmbH,1.60%,5.30%,0.80%,0.10%,52.90%,39.30%,100.00%,6.20%,3.40%,11.25%,1.70%,0.21%,83.44%,13.16%,1,0.0000,2.12314225053079,https://www.stadtwerke-wf.de/_Resources/Persistent/e91ee0fb1a8534a9bed0a147d17bf821d4b0ee89/Energietr%C3%A4germix%202017.pdf,FEHLER Umweltbelastungen
Stadtwerke Wolfhagen GmbH,2.00%,5.00%,0.00%,2.00%,53.00%,38.00%,100.00%,7.00%,4.26%,10.64%,0.00%,4.26%,80.85%,14.89%,59,0.0000,125.531914893617,https://www.stadtwerke-wolfhagen.de/index.php/strom/stromherkunft-stadtwerke-wolfhagen#Stromherkunft,
Stadtwerke Wolmirstedt GmbH,2.60%,7.10%,36.90%,0.40%,52.90%,0.00%,99.90%,44.40%,5.52%,15.07%,78.34%,0.85%,0.00%,94.27%,221,0.0001,469.214437367304,https://stadtwerke-wolmirstedt.de/sites/default/files/energiemix_2017_homepage.pdf,FEHLER Deutschland-Mix
Stadtwerke Wunstorf GmbH & Co. KG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,http://www.stadtwerke-wunstorf.de/,nicht aktuell
Stadtwerke Würzburg AG,4.50%,14.60%,12.40%,2.40%,51.50%,14.60%,100.00%,29.40%,9.28%,30.10%,25.57%,4.95%,30.10%,60.62%,204,0.0001,420.618556701031,https://www.wvv.de/de/media/img/bilder/energie-_-wasser/wissenswertes/emix_2016_web.pdf,
Stadtwerke Zeil am Main,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://stadtwerke-zeil.de/strom/naturstrom/,nicht aktuell
Stadtwerke Zeitz GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.stadtwerke-zeitz.de/stadtwerke-zeitz/veroeffentlichungspflichten/,nicht aktuell
Stadtwerke Zeven GmbH,2.70%,10.10%,3.20%,0.50%,52.90%,30.60%,100.00%,13.80%,5.73%,21.44%,6.79%,1.06%,64.97%,29.30%,111,0.0001,235.668789808917,https://www.stadtwerke-zeven.de/de/Strom/Stromkennzeichnung/,
Stadtwerke Zirndorf GmbH,7.40%,20.60%,4.60%,0.70%,52.90%,13.80%,100.00%,25.90%,15.71%,43.74%,9.77%,1.49%,29.30%,54.99%,225,0.0002,477.707006369427,https://www.stadtwerke-zirndorf.de/strom/info-und-formulare.html,
Stadtwerke Zittau GmbH,8.50%,26.20%,12.80%,1.70%,50.70%,0.10%,100.00%,40.70%,17.24%,53.14%,25.96%,3.45%,0.20%,82.56%,316,0.0002,640.973630831643,https://stadtwerke-zittau.de/swzittau/content/privatkunden/strom/stromherkunft,
Stadtwerke Zweibrücken GmbH,8.30%,27.70%,9.50%,1.20%,52.90%,0.40%,100.00%,38.40%,17.62%,58.81%,20.17%,2.55%,0.85%,81.53%,316,0.0002,670.912951167728,https://www.stadtwerke-zw.de/privatkunden/strom/stromkennzeichnung/,
Stadtwerke Zwiesel,8.80%,23.40%,11.80%,1.20%,52.90%,1.90%,100.00%,36.40%,18.68%,49.68%,25.05%,2.55%,4.03%,77.28%,297,0.0002,630.573248407643,https://stadtwerke.zwiesel.de/werke/strom/veroeffentlichungen.html,
Stadtwerkenergie Ostwestfalen-Lippe GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.stadtwerkenergie.de/de/-JUeRGEN-Strom/JUeRGEN-Strom/Juergen-Preisblatt-Strom-2019.pdf,FEHLER fehlerhafte Kennzeichnung
